"","NMDS1","NMDS2","r","pval","genera","p.adj"
"g__Aspergillus",0.3983963848894,0.917213345142261,0.461209789636347,0.001,"g__Aspergillus",0.0447857142857143
"g__Basidioascus",-0.950140494081821,0.311822131199748,0.324556698128411,0.001,"g__Basidioascus",0.0447857142857143
"g__Cladonia",0.931157371207622,-0.364617539410421,0.200635352824916,0.009,"g__Cladonia",0.201535714285714
"g__Cladophialophora",0.997424402498433,-0.0717255972484269,0.496053564971302,0.001,"g__Cladophialophora",0.0447857142857143
"g__Clonostachys",0.900759494899218,-0.434318238563505,0.19913614361238,0.009,"g__Clonostachys",0.201535714285714
"g__Exophiala",0.804614921109002,-0.59379695917776,0.407412190996488,0.001,"g__Exophiala",0.0447857142857143
"g__Helicodendron",0.709191289524902,0.705016109647153,0.223078361691848,0.007,"g__Helicodendron",0.17556
"g__Humicola",0.988162581069423,-0.153410277928881,0.344633463590571,0.001,"g__Humicola",0.0447857142857143
"g__Ilyonectria",0.974563956161086,0.224109561044709,0.334332761425283,0.001,"g__Ilyonectria",0.0447857142857143
"g__Infundichalara",0.0924727773668854,0.99571521302331,0.306117619197788,0.002,"g__Infundichalara",0.078375
"g__Inocybe",0.356234960531498,-0.934396411002911,0.216150268783267,0.007,"g__Inocybe",0.17556
"g__Meliniomyces",0.125330281831284,0.992115074200615,0.272464411821892,0.009,"g__Meliniomyces",0.201535714285714
"g__Metarhizium",0.993005767421334,0.118065853945868,0.508430481497508,0.001,"g__Metarhizium",0.0447857142857143
"g__Mortierella",0.777184014563078,0.629273396472167,0.651325619840669,0.001,"g__Mortierella",0.0447857142857143
"g__Paraboeremia",0.485090268187289,-0.874464082572854,0.216770318403758,0.007,"g__Paraboeremia",0.17556
"g__Pectenia",0.995366434199991,-0.0961543637490989,0.350131118605805,0.001,"g__Pectenia",0.0447857142857143
"g__Penicillium",-0.941688562038322,-0.336485738369694,0.412563000286519,0.001,"g__Penicillium",0.0447857142857143
"g__Phialocephala",0.542364942249545,-0.840143005338167,0.247306190215005,0.003,"g__Phialocephala",0.099
"g__Ramariopsis",0.9633657183908,-0.268191149424022,0.230146980538497,0.005,"g__Ramariopsis",0.1425
"g__Scutellinia",-0.356862461439813,-0.934156937358556,0.267058367384447,0.004,"g__Scutellinia",0.119428571428571
"g__Solicoccozyma",0.377201434812502,-0.926131242090121,0.345723636601384,0.001,"g__Solicoccozyma",0.0447857142857143
"g__Sterigmatobotrys",0.136589439692624,0.99062774288047,0.281131113543834,0.001,"g__Sterigmatobotrys",0.0447857142857143
"g__Subulicystidium",0.365339338667582,0.930874410230474,0.323245993414178,0.001,"g__Subulicystidium",0.0447857142857143
"g__Tomentella",0.346367051751084,-0.938099070173967,0.255426227237961,0.003,"g__Tomentella",0.099
"g__unidentified",-0.314002441062952,0.94942217532903,0.269991277032702,0.002,"g__unidentified",0.078375
"g__Venturia",0.126684632032448,0.991943044739366,0.31806525721811,0.003,"g__Venturia",0.099
"g__Venturiocistella",0.172304487267629,0.985043736931229,0.257530340213896,0.004,"g__Venturiocistella",0.119428571428571
"g__Xenopolyscytalum",0.721588278387469,0.692322436797918,0.34322457222526,0.001,"g__Xenopolyscytalum",0.0447857142857143
